TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Target
14.09,2023-04-11 16:29:14,1,36,0,70.0,0,81.0,1.0,5112.21,2024-11-04 08:08:08,2
376.24,2023-06-27 16:44:19,1,15,0,68.0,0,141.0,1.0,13758.91,2024-11-04 08:09:35,3
126.29,2023-07-10 18:16:08,1,23,2,19.0,3,56.0,1.0,1122.35,2024-11-04 08:07:04,0
184.5,2023-05-05 16:32:11,1,33,2,26.0,3,25.0,1.0,8569.06,2024-11-04 08:09:06,3
13.45,2023-10-16 17:51:24,0,1,2,45.0,3,198.0,1.0,7429.4,2024-11-04 08:06:39,1
92.15,2023-04-03 17:15:01,1,28,0,18.0,3,172.0,1.0,781.68,2024-11-04 08:06:36,0
7.08,2023-02-15 16:36:48,0,39,0,37.0,0,139.0,1.0,13316.71,2024-11-04 08:10:09,3
171.42,2023-05-08 17:47:59,0,16,1,67.0,2,291.0,1.0,2796.24,2024-11-04 08:10:55,1
106.23,2023-03-21 16:59:46,0,11,1,51.0,1,86.0,1.0,9095.14,2024-11-04 08:11:14,3
815.96,2023-03-31 16:06:57,1,26,0,55.0,0,120.0,1.0,1021.88,2024-11-04 08:06:32,2
17.78,2023-03-14 16:46:10,0,0,2,52.0,1,59.0,1.0,7599.52,2024-11-04 08:06:45,3
190.02,2023-02-06 17:30:00,1,22,2,21.0,3,173.0,1.0,1528.81,2024-11-04 08:07:12,0
494.52,2023-06-07 17:21:28,0,23,1,24.0,3,111.0,1.0,1620.02,2024-11-04 08:08:38,0
781.76,2023-11-20 16:39:15,1,22,0,26.0,3,123.0,1.0,189.69,2024-11-04 08:07:06,0
166.99,2023-02-13 16:53:57,1,21,2,18.0,3,134.0,1.0,299.93,2024-11-04 08:10:09,0
465.45,2023-12-12 16:23:31,1,10,0,36.0,1,129.0,1.0,3465.54,2024-11-04 08:12:19,0
555.8,2023-10-30 16:52:49,0,2,1,19.0,3,158.0,1.0,1131.26,2024-11-04 08:07:35,0
492.93,2023-12-14 18:32:14,1,8,2,39.0,1,234.0,1.0,5109.97,2024-11-04 08:11:51,1
18.68,2023-02-21 16:56:50,0,0,1,59.0,2,106.0,1.0,7948.37,2024-11-04 08:12:01,2
71.48,2023-06-08 18:18:50,0,8,2,18.0,3,169.0,1.0,6568.59,2024-11-04 08:09:20,0
59.32,2023-02-28 16:36:58,1,20,1,71.0,2,38.0,1.0,5750.89,2024-11-04 08:09:24,2
85.77,2023-08-11 18:31:31,1,19,1,38.0,0,93.0,1.0,9146.19,2024-11-04 08:08:13,3
52.2,2023-06-06 18:54:15,1,1,2,39.0,1,120.0,1.0,8974.93,2024-11-04 08:07:01,3
345.84,2023-05-02 18:25:46,1,13,2,22.0,3,142.0,3.0,1402.5,2024-11-04 08:07:04,0
145.54,2023-03-02 16:43:56,1,33,2,21.0,3,96.0,1.0,1930.96,2024-11-04 08:07:09,0
7.49,2023-10-20 17:53:13,0,15,2,65.0,2,276.0,1.0,3634.67,2024-11-04 08:09:44,1
246.93,2023-04-17 16:37:01,1,24,0,23.0,3,158.0,5.0,673.35,2024-11-04 08:11:38,0
40.32,2023-03-29 16:42:38,1,25,1,37.0,1,95.0,1.0,2686.52,2024-11-04 08:11:59,0
127.45,2023-01-24 16:18:32,1,19,2,44.0,0,197.0,1.0,1772.06,2024-11-04 08:11:22,1
56.17,2023-09-20 16:55:42,1,11,1,27.0,3,283.0,1.0,1351.69,2024-11-04 08:08:30,1
28.31,2023-07-17 17:49:22,0,24,2,59.0,0,20.0,1.0,8334.47,2024-11-04 08:09:17,3
59.12,2023-02-06 16:24:24,1,3,0,29.0,0,257.0,1.0,9823.64,2024-11-04 08:06:58,1
396.45,2023-09-25 16:26:00,1,27,0,49.0,1,168.0,3.0,9690.15,2024-11-04 08:11:13,3
877.81,2023-03-13 17:23:24,1,20,2,22.0,3,150.0,1.0,399.0,2024-11-04 08:07:50,0
255.26,2023-10-27 16:42:49,0,37,1,45.0,0,50.0,1.0,14815.87,2024-11-04 08:10:51,3
124.76,2023-10-16 16:32:56,1,39,1,49.0,1,45.0,1.0,5764.72,2024-11-04 08:06:23,2
78.13,2023-11-21 16:58:44,1,25,1,26.0,3,145.0,1.0,900.61,2024-11-04 08:12:18,0
649.28,2023-03-02 17:53:32,1,38,0,75.0,2,137.0,1.0,4875.86,2024-11-04 08:11:15,2
795.31,2023-10-12 17:07:40,1,23,0,66.0,0,90.0,2.0,7914.88,2024-11-04 08:11:17,2
335.63,2023-01-24 17:17:20,1,28,2,55.0,2,216.0,1.0,1019.39,2024-11-04 08:07:32,1
328.47,2023-07-31 18:39:50,1,35,0,63.0,2,119.0,1.0,4323.66,2024-11-04 08:07:31,2
34.02,2023-01-09 16:13:21,1,30,2,38.0,0,19.0,1.0,14214.48,2024-11-04 08:11:45,3
241.42,2023-04-20 18:57:43,0,5,2,57.0,0,116.0,1.0,13357.02,2024-11-04 08:09:03,3
55.32,2023-04-12 16:03:37,1,40,0,19.0,3,117.0,1.0,241.79,2024-11-04 08:08:03,0
304.31,2023-07-26 16:52:28,1,21,1,27.0,3,33.0,1.0,868.61,2024-11-04 08:09:53,0
435.27,2023-10-04 17:49:29,1,6,1,74.0,2,90.0,1.0,4673.28,2024-11-04 08:11:12,2
164.49,2023-12-13 16:01:38,1,3,1,26.0,3,75.0,1.0,1509.27,2024-11-04 08:10:33,0
510.24,2023-10-09 16:29:40,1,28,2,19.0,3,105.0,1.0,781.7,2024-11-04 08:11:35,0
626.9,2023-11-27 16:45:57,1,10,2,26.0,3,138.0,1.0,265.51,2024-11-04 08:07:24,0
22.01,2023-03-27 16:45:18,0,34,2,41.0,1,175.0,1.0,1335.09,2024-11-04 08:06:31,0
425.34,2023-02-13 16:59:39,0,18,2,69.0,2,121.0,1.0,3907.54,2024-11-04 08:07:07,2
424.56,2023-02-21 17:45:55,1,29,2,51.0,1,264.0,1.0,5183.85,,1
85.43,2023-06-07 16:45:34,1,41,1,67.0,0,145.0,1.0,14904.9,2024-11-04 08:06:45,3
169.5,2023-09-07 16:51:27,1,36,1,28.0,3,142.0,1.0,918.88,2024-11-04 08:08:58,0
104.63,2023-03-29 17:47:16,1,29,0,62.0,2,90.0,1.0,4477.78,2024-11-04 08:10:42,2
316.95,2023-08-04 17:53:40,1,23,1,25.0,3,83.0,1.0,1324.03,2024-11-04 08:09:15,0
60.54,2023-12-14 17:52:37,0,8,1,57.0,2,52.0,1.0,3534.93,2024-11-04 08:09:57,2
292.56,2023-03-03 17:37:41,0,9,1,68.0,2,61.0,1.0,4638.37,2024-11-04 08:07:49,2
386.52,2023-06-09 16:18:15,1,16,1,48.0,1,28.0,1.0,5630.61,2024-11-04 08:07:09,2
112.07,2023-10-02 16:35:22,1,18,1,23.0,3,51.0,1.0,930.3,2024-11-04 08:11:37,0
568.52,2023-10-06 18:44:37,1,16,0,46.0,1,152.0,1.0,5499.91,,1
263.99,2023-05-16 16:07:30,1,9,1,79.0,2,227.0,2.0,4175.02,2024-11-04 08:11:03,1
349.64,2023-11-07 16:48:23,1,19,2,48.0,1,226.0,1.0,6651.62,2024-11-04 08:08:09,1
601.4,2023-05-30 17:43:25,0,30,1,56.0,1,104.0,1.0,8458.29,2024-11-04 08:08:01,3
5.77,2023-11-02 16:01:40,1,5,2,50.0,0,124.0,1.0,13988.12,2024-11-04 08:11:32,3
201.33,2023-03-29 17:00:31,0,26,1,42.0,1,186.0,1.0,2585.07,2024-11-04 08:11:41,1
298.42,2023-04-25 16:11:24,1,16,1,56.0,2,225.0,1.0,3014.75,2024-11-04 08:10:12,1
521.06,2023-04-18 18:40:47,1,0,1,25.0,3,128.0,1.0,1951.42,2024-11-04 08:12:10,0
117.28,2023-02-09 16:34:53,0,2,2,60.0,1,16.0,1.0,3665.77,2024-11-04 08:07:11,2
189.12,2023-11-13 16:42:28,0,16,1,32.0,1,103.0,1.0,977.01,2024-11-04 08:08:42,0
133.55,2023-07-18 16:12:00,1,1,0,44.0,1,220.0,1.0,3846.28,2024-11-04 08:10:18,1
143.21,2023-01-13 17:00:16,1,9,2,35.0,1,135.0,1.0,6374.82,2024-11-04 08:09:26,3
24.77,2023-07-04 18:20:33,1,4,0,62.0,2,55.0,1.0,5866.01,2024-11-04 08:12:15,2
233.92,2023-10-20 16:54:28,0,17,2,26.0,3,280.0,1.0,6537.62,2024-11-04 08:08:45,1
1212.51,2023-10-04 16:36:29,1,16,1,20.0,3,24.0,1.0,605.95,2024-11-04 08:06:51,0
232.12,2023-12-28 17:31:03,1,13,0,37.0,1,51.0,1.0,6689.87,2024-11-04 08:09:17,3
211.36,2023-06-12 17:53:52,1,18,2,22.0,3,113.0,1.0,634.17,2024-11-04 08:08:22,0
91.53,2023-03-13 16:32:12,1,25,1,44.0,0,69.0,1.0,14676.05,2024-11-04 08:11:36,3
120.29,2023-12-18 18:46:27,1,24,1,19.0,3,77.0,1.0,1362.39,2024-11-04 08:06:50,0
174.25,2023-07-17 18:54:31,1,39,2,50.0,0,67.0,1.0,10528.34,2024-11-04 08:10:29,3
183.71,2023-06-19 18:22:10,1,10,0,38.0,1,102.0,1.0,552.52,2024-11-04 08:09:51,0
345.39,,0,31,1,58.0,1,80.0,1.0,6451.96,2024-11-04 08:08:16,2
922.55,2023-01-23 16:32:48,1,11,0,63.0,2,87.0,1.0,4715.84,2024-11-04 08:11:07,2
259.91,2023-11-06 16:34:10,1,10,2,49.0,0,170.0,1.0,7176.86,2024-11-04 08:09:38,1
154.71,2023-07-03 16:40:24,1,36,2,34.0,0,157.0,1.0,1523.72,2024-11-04 08:09:42,0
1340.19,2023-09-29 17:22:10,0,2,2,54.0,1,30.0,1.0,8654.28,2024-11-04 08:06:53,3
24.56,2023-10-20 17:27:35,1,23,1,64.0,0,69.0,1.0,9869.93,2024-11-04 08:12:05,3
568.07,2023-08-28 17:03:53,1,42,0,48.0,0,115.0,1.0,10556.81,2024-11-04 08:07:32,3
9.61,2023-06-22 18:37:29,0,36,2,58.0,0,179.0,1.0,12883.91,2024-11-04 08:09:10,3
392.96,2023-11-20 16:28:09,1,18,2,24.0,3,100.0,1.0,791.65,2024-11-04 08:08:38,0
716.93,2023-09-14 16:49:33,0,25,2,60.0,2,34.0,1.0,4064.02,2024-11-04 08:08:12,2
223.85,2023-10-02 16:36:10,1,18,0,53.0,1,55.0,4.0,2929.91,2024-11-04 08:08:01,2
230.66,2023-03-27 18:16:04,1,15,1,21.0,3,135.0,1.0,618.05,2024-11-04 08:10:44,0
442.12,2023-12-21 16:37:03,1,20,2,19.0,3,260.0,1.0,1375.8,2024-11-04 08:08:21,0
644.17,2023-03-02 16:05:09,1,35,0,29.0,1,72.0,1.0,1143.52,2024-11-04 08:08:04,0
508.68,2023-06-26 16:16:50,0,23,1,51.0,1,127.0,1.0,7708.41,2024-11-04 08:09:32,3
858.63,2023-04-18 17:27:23,0,37,1,27.0,3,185.0,1.0,1872.96,2024-11-04 08:10:47,0
25.36,2023-07-17 17:08:24,1,21,0,57.0,1,78.0,1.0,201.04,2024-11-04 08:11:05,2
147.62,2023-09-01 17:26:02,1,5,1,71.0,2,133.0,1.0,2115.8,2024-11-04 08:07:22,2
115.02,2023-09-11 16:19:04,1,35,1,37.0,0,175.0,1.0,7643.66,2024-11-04 08:08:38,1
383.37,2023-01-24 17:23:56,1,13,1,30.0,1,24.0,1.0,8901.93,2024-11-04 08:11:07,3
98.54,2023-08-11 16:18:46,0,12,2,20.0,3,167.0,1.0,9383.43,2024-11-04 08:10:02,3
83.24,2023-10-16 18:35:11,1,13,1,55.0,0,164.0,1.0,1181.31,2024-11-04 08:10:52,2
196.16,2023-02-24 16:29:23,1,41,1,27.0,1,146.0,1.0,9418.86,2024-11-04 08:08:32,3
129.94,2023-01-02 16:36:02,1,19,0,32.0,1,235.0,1.0,7954.92,2024-11-04 08:06:35,1
306.9,2023-11-30 16:31:03,1,7,2,46.0,1,51.0,1.0,9418.08,2024-11-04 08:10:48,3
114.98,2023-11-01 16:52:01,1,39,2,59.0,2,80.0,1.0,6144.68,2024-11-04 08:09:24,2
756.59,2023-03-06 16:47:02,1,34,1,27.0,3,17.0,1.0,420.65,2024-11-04 08:11:40,0
503.76,2023-11-27 18:32:49,1,20,2,22.0,3,35.0,1.0,447.82,2024-11-04 08:09:22,0
143.03,2023-07-31 16:37:46,1,35,0,63.0,2,147.0,1.0,7981.45,2024-11-04 08:10:42,2
1045.22,2023-11-22 16:13:39,1,8,0,53.0,2,73.0,1.0,1829.9,2024-11-04 08:07:35,2
245.54,2023-03-21 16:29:31,1,27,0,25.0,3,180.0,1.0,985.06,2024-11-04 08:10:26,0
254.37,2023-04-20 18:26:50,0,9,2,51.0,1,174.0,1.0,8849.26,2024-11-04 08:06:56,1
213.76,2023-03-01 17:52:14,0,9,0,78.0,2,282.0,1.0,3528.72,2024-11-04 08:09:36,1
327.86,2023-02-10 16:52:48,1,14,2,40.0,1,104.0,1.0,480.16,2024-11-04 08:06:30,0
2.5,2023-07-21 16:43:11,1,36,2,47.0,0,107.0,1.0,12145.27,2024-11-04 08:09:53,3
300.08,2023-10-09 17:02:43,0,2,2,68.0,0,47.0,1.0,13546.75,2024-11-04 08:12:18,3
56.98,2024-01-01 16:34:10,0,28,0,43.0,1,122.0,2.0,5688.37,2024-11-04 08:07:42,3
407.65,2023-07-07 16:11:38,1,4,2,26.0,1,62.0,1.0,8346.64,,3
115.83,2023-05-22 17:09:52,1,14,1,39.0,1,167.0,1.0,6481.04,2024-11-04 08:10:02,1
53.57,2023-08-16 16:17:12,1,15,0,69.0,2,121.0,1.0,1651.33,2024-11-04 08:08:43,2
63.34,2023-11-17 16:02:02,0,11,2,46.0,0,165.0,1.0,11174.94,2024-11-04 08:10:13,3
