TransactionAmount,TransactionType,Location,DeviceID,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
14.09,1,36,365,14,0,70.0,0,81.0,1.0,5112.21,2
376.24,1,15,50,51,0,68.0,0,141.0,1.0,13758.91,3
126.29,1,23,229,8,2,19.0,3,56.0,1.0,1122.35,0
184.5,1,33,182,1,2,26.0,3,25.0,1.0,8569.06,3
13.45,0,1,298,90,2,45.0,3,198.0,1.0,7429.4,1
92.15,1,28,562,53,0,18.0,3,172.0,1.0,781.68,0
7.08,0,39,235,18,0,37.0,0,139.0,1.0,13316.71,3
171.42,0,16,483,19,1,67.0,2,291.0,1.0,2796.24,1
106.23,0,11,670,34,1,51.0,1,86.0,1.0,9095.14,3
815.96,1,26,194,6,0,55.0,0,120.0,1.0,1021.88,2
17.78,0,0,200,72,2,52.0,1,59.0,1.0,7599.52,3
190.02,1,22,572,29,2,21.0,3,173.0,1.0,1528.81,0
494.52,0,23,31,56,1,24.0,3,111.0,1.0,1620.02,0
781.76,1,22,53,24,0,26.0,3,123.0,1.0,189.69,0
166.99,1,21,299,16,2,18.0,3,134.0,1.0,299.93,0
465.45,1,10,451,24,0,36.0,1,129.0,1.0,3465.54,0
555.8,0,2,651,47,1,19.0,3,158.0,1.0,1131.26,0
492.93,1,8,417,58,2,39.0,1,234.0,1.0,5109.97,1
18.68,0,0,513,53,1,59.0,2,106.0,1.0,7948.37,2
71.48,0,8,38,38,2,18.0,3,169.0,1.0,6568.59,0
59.32,1,20,150,39,1,71.0,2,38.0,1.0,5750.89,2
85.77,1,19,260,64,1,38.0,0,93.0,1.0,9146.19,3
52.2,1,1,198,21,2,39.0,1,120.0,1.0,8974.93,3
345.84,1,13,158,82,2,22.0,3,142.0,3.0,1402.5,0
145.54,1,33,35,27,2,21.0,3,96.0,1.0,1930.96,0
7.49,0,15,651,42,2,65.0,2,276.0,1.0,3634.67,1
246.93,1,24,45,28,0,23.0,3,158.0,5.0,673.35,0
40.32,1,25,300,7,1,37.0,1,95.0,1.0,2686.52,0
127.45,1,19,226,91,2,44.0,0,197.0,1.0,1772.06,1
56.17,1,11,288,42,1,27.0,3,283.0,1.0,1351.69,1
28.31,0,24,570,90,2,59.0,0,20.0,1.0,8334.47,3
59.12,1,3,274,52,0,29.0,0,257.0,1.0,9823.64,1
396.45,1,27,601,6,0,49.0,1,168.0,3.0,9690.15,3
877.81,1,20,109,93,2,22.0,3,150.0,1.0,399.0,0
255.26,0,37,345,1,1,45.0,0,50.0,1.0,14815.87,3
124.76,1,39,41,1,1,49.0,1,45.0,1.0,5764.72,2
78.13,1,25,244,27,1,26.0,3,145.0,1.0,900.61,0
649.28,1,38,433,73,0,75.0,2,137.0,1.0,4875.86,2
795.31,1,23,76,47,0,66.0,0,90.0,2.0,7914.88,2
335.63,1,28,37,39,2,55.0,2,216.0,1.0,1019.39,1
328.47,1,35,540,13,0,63.0,2,119.0,1.0,4323.66,2
34.02,1,30,607,45,2,38.0,0,19.0,1.0,14214.48,3
241.42,0,5,193,43,2,57.0,0,116.0,1.0,13357.02,3
55.32,1,40,192,8,0,19.0,3,117.0,1.0,241.79,0
304.31,1,21,665,4,1,27.0,3,33.0,1.0,868.61,0
435.27,1,6,288,50,1,74.0,2,90.0,1.0,4673.28,2
164.49,1,3,101,69,1,26.0,3,75.0,1.0,1509.27,0
510.24,1,28,382,89,2,19.0,3,105.0,1.0,781.7,0
626.9,1,10,276,22,2,26.0,3,138.0,1.0,265.51,0
22.01,0,34,198,54,2,41.0,1,175.0,1.0,1335.09,0
425.34,0,18,641,39,2,69.0,2,121.0,1.0,3907.54,2
424.56,1,29,580,14,2,51.0,1,264.0,1.0,5183.85,1
85.43,1,41,229,77,1,67.0,0,145.0,1.0,14904.9,3
169.5,1,36,427,35,1,28.0,3,142.0,1.0,918.88,0
104.63,1,29,622,94,0,62.0,2,90.0,1.0,4477.78,2
316.95,1,23,12,51,1,25.0,3,83.0,1.0,1324.03,0
60.54,0,8,447,94,1,57.0,2,52.0,1.0,3534.93,2
292.56,0,9,301,74,1,68.0,2,61.0,1.0,4638.37,2
386.52,1,16,143,63,1,48.0,1,28.0,1.0,5630.61,2
112.07,1,18,87,63,1,23.0,3,51.0,1.0,930.3,0
568.52,1,16,227,93,0,46.0,1,152.0,1.0,5499.91,1
263.99,1,9,277,86,1,79.0,2,227.0,2.0,4175.02,1
349.64,1,19,499,96,2,48.0,1,226.0,1.0,6651.62,1
601.4,0,30,531,0,1,56.0,1,104.0,1.0,8458.29,3
5.77,1,5,446,70,2,50.0,0,124.0,1.0,13988.12,3
201.33,0,26,96,2,1,42.0,1,186.0,1.0,2585.07,1
298.42,1,16,420,4,1,56.0,2,225.0,1.0,3014.75,1
521.06,1,0,295,62,1,25.0,3,128.0,1.0,1951.42,0
117.28,0,2,126,56,2,60.0,1,16.0,1.0,3665.77,2
189.12,0,16,664,39,1,32.0,1,103.0,1.0,977.01,0
133.55,1,1,196,90,0,44.0,1,220.0,1.0,3846.28,1
143.21,1,9,395,65,2,35.0,1,135.0,1.0,6374.82,3
24.77,1,4,176,69,0,62.0,2,55.0,1.0,5866.01,2
233.92,0,17,286,45,2,26.0,3,280.0,1.0,6537.62,1
1212.51,1,16,225,35,1,20.0,3,24.0,1.0,605.95,0
232.12,1,13,72,65,0,37.0,1,51.0,1.0,6689.87,3
211.36,1,18,69,59,2,22.0,3,113.0,1.0,634.17,0
91.53,1,25,351,94,1,44.0,0,69.0,1.0,14676.05,3
120.29,1,24,544,44,1,19.0,3,77.0,1.0,1362.39,0
174.25,1,39,360,31,2,50.0,0,67.0,1.0,10528.34,3
183.71,1,10,471,73,0,38.0,1,102.0,1.0,552.52,0
345.39,0,31,95,80,1,58.0,1,80.0,1.0,6451.96,2
922.55,1,11,201,3,0,63.0,2,87.0,1.0,4715.84,2
259.91,1,10,596,27,2,49.0,0,170.0,1.0,7176.86,1
154.71,1,36,477,29,2,34.0,0,157.0,1.0,1523.72,0
1340.19,0,2,557,11,2,54.0,1,30.0,1.0,8654.28,3
24.56,1,23,413,32,1,64.0,0,69.0,1.0,9869.93,3
568.07,1,42,17,53,0,48.0,0,115.0,1.0,10556.81,3
9.61,0,36,438,42,2,58.0,0,179.0,1.0,12883.91,3
392.96,1,18,139,21,2,24.0,3,100.0,1.0,791.65,0
716.93,0,25,311,51,2,60.0,2,34.0,1.0,4064.02,2
223.85,1,18,465,8,0,53.0,1,55.0,4.0,2929.91,2
230.66,1,15,509,48,1,21.0,3,135.0,1.0,618.05,0
442.12,1,20,625,46,2,19.0,3,260.0,1.0,1375.8,0
644.17,1,35,174,92,0,29.0,1,72.0,1.0,1143.52,0
508.68,0,23,602,47,1,51.0,1,127.0,1.0,7708.41,3
858.63,0,37,18,1,1,27.0,3,185.0,1.0,1872.96,0
25.36,1,21,187,6,0,57.0,1,78.0,1.0,201.04,2
147.62,1,5,91,27,1,71.0,2,133.0,1.0,2115.8,2
115.02,1,35,511,3,1,37.0,0,175.0,1.0,7643.66,1
383.37,1,13,310,65,1,30.0,1,24.0,1.0,8901.93,3
98.54,0,12,511,94,2,20.0,3,167.0,1.0,9383.43,3
83.24,1,13,589,8,1,55.0,0,164.0,1.0,1181.31,2
196.16,1,41,160,98,1,27.0,1,146.0,1.0,9418.86,3
129.94,1,19,627,44,0,32.0,1,235.0,1.0,7954.92,1
306.9,1,7,77,46,2,46.0,1,51.0,1.0,9418.08,3
114.98,1,39,178,31,2,59.0,2,80.0,1.0,6144.68,2
756.59,1,34,27,11,1,27.0,3,17.0,1.0,420.65,0
503.76,1,20,501,82,2,22.0,3,35.0,1.0,447.82,0
143.03,1,35,453,54,0,63.0,2,147.0,1.0,7981.45,2
1045.22,1,8,385,76,0,53.0,2,73.0,1.0,1829.9,2
245.54,1,27,519,88,0,25.0,3,180.0,1.0,985.06,0
254.37,0,9,461,11,2,51.0,1,174.0,1.0,8849.26,1
213.76,0,9,557,8,0,78.0,2,282.0,1.0,3528.72,1
327.86,1,14,635,50,2,40.0,1,104.0,1.0,480.16,0
2.5,1,36,653,41,2,47.0,0,107.0,1.0,12145.27,3
300.08,0,2,259,39,2,68.0,0,47.0,1.0,13546.75,3
56.98,0,28,250,85,0,43.0,1,122.0,2.0,5688.37,3
407.65,1,4,527,40,2,26.0,1,62.0,1.0,8346.64,3
115.83,1,14,643,85,1,39.0,1,167.0,1.0,6481.04,1
53.57,1,15,472,24,0,69.0,2,121.0,1.0,1651.33,2
63.34,0,11,419,27,2,46.0,0,165.0,1.0,11174.94,3
317.87,1,11,303,75,2,27.0,3,91.0,1.0,145.5,0
331.65,1,32,36,5,2,41.0,1,61.0,1.0,4172.57,0
5.04,1,42,20,0,0,56.0,2,41.0,1.0,5558.36,2
214.54,0,11,110,25,2,70.0,0,247.0,1.0,11151.53,1
598.81,1,30,41,80,1,57.0,0,158.0,1.0,1415.52,2
841.28,1,40,268,82,2,26.0,3,80.0,1.0,1103.64,0
38.15,1,23,667,4,2,26.0,3,108.0,1.0,303.68,0
1036.66,1,35,14,61,1,58.0,0,144.0,1.0,5541.57,2
124.72,1,28,116,3,1,33.0,1,105.0,1.0,6309.8,3
302.45,0,35,51,58,1,78.0,2,40.0,1.0,5133.61,2
208.04,1,21,327,54,2,47.0,1,273.0,1.0,9344.98,1
5.77,0,20,230,97,1,23.0,3,254.0,1.0,1117.97,0
381.33,1,0,615,33,0,56.0,0,75.0,1.0,11835.35,3
16.16,1,25,450,64,0,50.0,0,124.0,1.0,14401.17,3
486.08,1,28,166,59,2,18.0,3,68.0,1.0,1748.69,0
336.39,1,35,411,2,1,21.0,3,18.0,1.0,1000.46,0
997.43,1,39,641,66,2,69.0,0,118.0,1.0,6810.05,2
234.57,1,6,536,44,2,23.0,3,120.0,1.0,263.98,0
6.0,1,6,539,89,2,30.0,0,246.0,1.0,5442.76,1
1049.92,1,11,505,51,0,80.0,2,21.0,1.0,2037.85,2
227.14,1,5,424,56,0,18.0,3,294.0,1.0,341.94,0
233.74,0,28,582,25,2,66.0,2,17.0,1.0,1066.59,2
211.36,0,17,355,18,1,69.0,2,166.0,1.0,6077.96,2
45.85,1,20,235,84,0,20.0,3,92.0,1.0,1659.15,0
973.39,1,34,283,25,1,77.0,2,296.0,1.0,2042.22,1
211.36,1,27,107,55,2,41.0,0,142.0,5.0,421.93,0
415.5,1,22,318,76,0,66.0,0,141.0,1.0,10113.66,3
265.76,1,30,155,48,2,54.0,2,92.0,1.0,4446.17,2
69.4,1,41,398,72,2,80.0,2,113.0,1.0,6452.77,2
332.93,0,0,531,38,1,35.0,1,293.0,1.0,2788.2,1
267.9,1,35,587,77,2,20.0,3,160.0,1.0,596.16,0
496.03,1,37,69,8,1,61.0,0,265.0,1.0,12904.66,1
376.26,1,40,465,80,0,37.0,1,245.0,1.0,9062.4,1
83.02,0,39,220,57,2,36.0,1,171.0,1.0,9009.56,3
93.26,0,27,421,91,2,20.0,3,72.0,1.0,1152.2,0
803.37,0,22,106,29,1,68.0,0,129.0,1.0,12168.37,3
35.76,1,5,658,56,1,23.0,3,122.0,1.0,611.86,0
28.53,1,42,300,34,2,62.0,0,99.0,1.0,8670.53,2
139.53,0,21,474,1,2,53.0,0,177.0,1.0,10098.86,1
307.57,1,11,75,48,1,33.0,0,285.0,1.0,5307.74,1
60.65,0,40,441,84,1,56.0,2,53.0,1.0,1047.28,2
74.86,1,26,113,27,1,70.0,0,125.0,1.0,6921.48,2
211.36,1,18,273,99,1,51.0,2,137.0,1.0,1475.46,2
231.91,1,22,357,43,0,34.0,1,165.0,1.0,112.76,0
126.21,1,3,0,0,1,75.0,2,268.0,1.0,5669.66,1
506.28,0,6,588,9,2,53.0,2,162.0,2.0,1309.95,2
304.35,1,15,273,6,1,31.0,1,36.0,1.0,4057.1,0
281.85,1,11,146,12,0,22.0,3,109.0,1.0,1585.98,0
777.88,1,15,421,17,1,31.0,1,17.0,1.0,6825.55,3
119.18,1,20,299,92,1,56.0,2,96.0,1.0,5516.5,2
177.19,1,6,646,87,2,76.0,2,43.0,1.0,5343.3,2
260.88,1,10,315,93,1,22.0,3,36.0,1.0,903.05,0
169.47,1,6,60,45,2,24.0,3,19.0,1.0,1806.16,0
73.23,1,32,58,21,1,26.0,3,14.0,1.0,787.74,0
1362.55,1,12,198,0,0,29.0,1,106.0,1.0,2429.68,0
792.57,1,3,409,58,0,19.0,3,164.0,1.0,770.37,0
237.06,1,31,440,48,2,71.0,2,46.0,1.0,1182.77,2
34.17,0,30,35,90,2,54.0,1,54.0,1.0,726.55,2
740.25,1,30,29,9,2,41.0,0,123.0,1.0,14464.3,3
453.54,1,0,148,16,0,58.0,0,82.0,1.0,12046.3,3
300.47,1,17,264,64,1,73.0,2,100.0,1.0,7885.64,2
110.93,0,41,140,35,1,19.0,3,201.0,1.0,1952.35,0
201.69,1,19,606,18,0,59.0,0,299.0,1.0,7328.52,1
399.21,1,32,292,61,0,59.0,1,109.0,1.0,3210.39,2
1041.88,1,17,203,31,2,78.0,2,57.0,1.0,5726.2,2
630.36,1,23,89,83,0,62.0,2,52.0,1.0,1363.65,2
10.94,0,30,486,82,0,60.0,1,245.0,1.0,1241.99,1
215.9,1,20,399,82,0,38.0,0,235.0,1.0,7873.28,1
1422.55,1,42,552,71,1,79.0,2,165.0,1.0,5674.32,2
226.37,1,21,611,40,1,49.0,0,141.0,1.0,9840.04,3
444.89,0,19,169,59,1,43.0,0,101.0,1.0,10328.23,3
280.57,0,41,521,16,2,25.0,3,24.0,1.0,293.24,0
488.54,1,17,451,35,1,52.0,1,132.0,1.0,7486.63,3
3.3,0,20,209,84,1,50.0,0,131.0,1.0,11385.37,3
199.39,1,7,294,22,1,69.0,2,165.0,1.0,7264.79,2
20.36,1,40,81,68,1,62.0,2,75.0,1.0,2762.48,2
113.64,1,11,21,37,2,45.0,2,32.0,1.0,6675.03,3
493.11,1,7,226,21,1,53.0,2,236.0,1.0,7432.99,1
307.41,1,20,13,6,0,19.0,3,14.0,1.0,1057.0,0
11.18,1,1,127,16,2,43.0,0,161.0,1.0,5956.89,1
313.82,1,40,345,96,1,59.0,1,151.0,1.0,7261.59,2
51.0,1,39,194,62,1,64.0,2,107.0,1.0,4943.16,2
140.98,1,22,359,58,1,60.0,1,100.0,1.0,8127.48,2
288.04,1,10,565,91,0,68.0,2,63.0,1.0,1748.02,2
800.55,1,28,637,61,0,31.0,1,108.0,1.0,9660.22,3
485.54,1,15,572,60,0,46.0,1,143.0,1.0,6371.51,1
521.15,1,18,106,83,0,54.0,0,214.0,1.0,9442.47,1
321.79,0,33,520,25,0,63.0,2,112.0,1.0,5959.2,2
304.93,1,32,680,97,0,65.0,0,158.0,1.0,13531.22,3
432.08,1,12,72,43,0,40.0,0,145.0,1.0,11500.62,3
694.2,1,25,6,34,0,61.0,2,72.0,1.0,1389.37,2
116.86,1,21,514,87,0,55.0,1,171.0,1.0,6706.56,1
211.36,0,11,242,38,1,57.0,0,149.0,1.0,7175.29,2
74.88,1,1,137,25,0,25.0,3,202.0,1.0,420.67,0
211.36,1,30,500,55,1,75.0,2,99.0,1.0,7323.53,2
134.7,1,13,617,73,0,50.0,0,106.0,1.0,8395.85,3
890.24,0,19,217,28,2,33.0,1,161.0,1.0,5140.93,0
361.27,1,29,656,87,0,63.0,0,180.0,1.0,7945.57,1
131.56,1,5,198,13,1,44.0,0,42.0,1.0,5873.54,3
485.51,0,25,445,96,2,76.0,2,37.0,1.0,3074.45,2
547.87,1,8,179,63,0,64.0,2,131.0,1.0,6155.76,2
457.3,1,41,208,41,2,28.0,1,15.0,1.0,8318.29,3
506.24,1,6,304,76,0,58.0,1,64.0,1.0,230.09,2
486.59,1,16,28,16,1,57.0,2,119.0,1.0,2513.56,2
163.68,1,36,425,86,1,41.0,0,292.0,1.0,10090.05,1
581.65,1,4,646,8,0,22.0,3,176.0,1.0,480.19,0
52.01,1,23,198,18,0,48.0,0,85.0,1.0,1120.88,2
630.24,1,4,531,25,0,21.0,3,62.0,1.0,370.81,0
523.74,1,28,534,98,0,43.0,0,159.0,1.0,13498.55,3
705.6,1,31,101,70,1,40.0,0,124.0,3.0,14804.7,3
217.5,0,10,198,42,1,46.0,1,35.0,1.0,3057.4,2
91.48,1,13,286,80,0,51.0,0,141.0,1.0,14942.78,3
5.25,1,38,554,9,0,39.0,0,49.0,1.0,14143.32,3
54.03,0,25,502,86,0,56.0,2,161.0,1.0,6736.3,1
736.73,1,22,163,36,1,48.0,1,10.0,1.0,3313.07,2
368.91,1,41,215,81,1,54.0,0,14.0,1.0,829.71,2
33.06,0,13,402,44,2,53.0,2,170.0,1.0,1540.87,2
66.5,0,21,404,97,2,32.0,1,144.0,1.0,6820.23,3
177.08,1,19,435,13,1,35.0,0,85.0,1.0,13475.14,3
588.54,1,32,591,30,1,32.0,1,130.0,1.0,714.45,0
173.5,1,26,229,51,0,21.0,3,282.0,1.0,1306.91,1
78.33,0,22,186,68,2,56.0,1,189.0,1.0,7255.33,1
40.66,1,21,208,60,1,59.0,2,156.0,1.0,1153.84,2
97.22,0,1,490,62,1,77.0,2,55.0,1.0,6647.73,2
34.07,1,30,155,79,1,22.0,3,81.0,1.0,8709.77,3
492.06,1,14,396,11,2,23.0,3,74.0,1.0,857.9,0
842.01,0,41,204,14,2,53.0,0,185.0,1.0,509.45,1
73.55,1,1,205,85,0,51.0,1,158.0,1.0,2812.06,2
760.53,1,31,631,4,2,57.0,1,118.0,1.0,6179.91,2
273.08,0,15,517,6,1,45.0,1,134.0,1.0,6609.3,3
371.69,1,37,359,19,1,67.0,2,143.0,1.0,3484.32,2
218.96,1,39,539,20,0,18.0,3,13.0,1.0,754.21,0
227.39,1,1,202,9,2,18.0,3,65.0,1.0,751.09,0
237.99,0,18,546,42,1,39.0,0,86.0,1.0,8510.09,3
186.6,1,13,147,36,2,58.0,0,13.0,1.0,1508.72,2
341.15,1,38,438,41,2,18.0,3,148.0,1.0,511.37,0
434.58,1,22,134,90,0,59.0,0,215.0,1.0,12648.32,1
312.88,0,32,486,39,1,54.0,1,44.0,1.0,233.21,2
75.15,1,4,13,93,0,23.0,3,154.0,1.0,1092.92,0
23.3,1,20,370,60,0,59.0,1,161.0,1.0,6711.15,1
47.38,0,39,373,60,2,25.0,3,61.0,1.0,459.37,0
512.81,1,34,198,3,1,79.0,2,30.0,1.0,6994.34,2
488.15,1,21,251,97,1,43.0,1,168.0,1.0,7071.09,1
12.82,1,13,466,54,0,44.0,1,156.0,1.0,9045.19,3
66.9,0,5,215,25,2,79.0,2,129.0,4.0,5238.71,2
535.91,1,19,566,96,2,43.0,1,22.0,1.0,9642.12,3
270.72,0,42,491,93,2,26.0,1,53.0,1.0,6263.96,0
97.98,1,10,454,32,1,72.0,2,18.0,1.0,7460.33,2
196.08,1,37,603,87,2,61.0,2,98.0,1.0,4233.82,2
251.18,1,38,55,57,0,42.0,1,246.0,1.0,8303.9,1
44.52,1,12,598,80,2,28.0,3,205.0,1.0,314.28,0
178.87,1,3,643,0,2,35.0,0,180.0,1.0,5241.23,1
1176.28,0,18,460,73,0,54.0,1,174.0,5.0,323.69,2
386.68,1,27,438,18,1,46.0,0,128.0,1.0,6863.06,3
167.14,1,10,225,48,2,76.0,2,20.0,1.0,3877.73,2
345.22,1,14,211,24,1,69.0,2,253.0,1.0,4046.58,1
74.85,1,33,509,90,0,72.0,2,117.0,1.0,2409.73,2
671.73,1,42,621,70,1,58.0,1,54.0,1.0,5211.88,2
255.04,1,39,201,83,0,45.0,1,152.0,1.0,6217.86,1
45.77,1,30,468,65,2,25.0,3,109.0,1.0,5978.12,0
329.69,0,35,270,87,2,26.0,3,66.0,1.0,1671.66,0
362.04,0,30,143,58,1,58.0,0,198.0,2.0,8421.88,1
11.92,1,36,658,62,1,53.0,0,52.0,1.0,14611.9,3
47.42,1,36,243,11,0,64.0,0,28.0,1.0,8253.52,2
35.99,1,24,262,22,1,63.0,2,129.0,1.0,4489.79,2
151.19,0,27,638,60,1,37.0,0,96.0,1.0,11903.82,3
242.62,0,37,320,93,2,22.0,3,234.0,1.0,483.02,0
48.72,1,41,550,62,1,21.0,3,17.0,1.0,816.08,0
43.46,1,4,256,19,0,25.0,3,80.0,1.0,578.06,0
1036.21,1,29,127,66,2,25.0,3,126.0,1.0,477.3,0
443.79,1,19,392,98,0,53.0,2,87.0,1.0,3133.85,2
365.14,1,9,620,1,2,68.0,2,57.0,1.0,5894.09,2
757.41,1,20,368,47,0,22.0,3,37.0,1.0,9532.42,3
20.54,1,13,336,54,1,51.0,1,72.0,1.0,5327.03,2
475.36,1,31,523,17,0,34.0,1,105.0,1.0,2000.6,0
34.74,1,37,309,71,0,56.0,2,24.0,1.0,6827.57,2
689.54,1,28,380,37,1,27.0,3,93.0,1.0,1633.76,0
211.18,1,42,413,58,0,73.0,2,90.0,1.0,4069.17,2
211.36,0,13,680,40,1,51.0,1,286.0,1.0,7943.47,1
744.41,0,15,113,94,2,39.0,1,107.0,1.0,8842.47,3
61.43,1,31,83,34,2,24.0,3,170.0,1.0,1882.77,0
167.44,1,23,467,86,1,37.0,0,82.0,1.0,12526.71,3
361.46,1,26,165,92,2,21.0,3,83.0,1.0,4737.84,0
378.85,1,41,42,88,1,78.0,2,126.0,1.0,2300.53,2
241.11,1,8,428,62,1,30.0,0,55.0,1.0,12385.05,3
131.93,0,13,239,48,1,31.0,1,13.0,1.0,4547.06,0
20.28,1,28,568,46,2,36.0,1,213.0,1.0,2047.83,1
415.88,1,36,144,25,1,70.0,0,170.0,1.0,10008.33,1
49.99,1,29,648,61,0,62.0,2,112.0,1.0,2299.64,2
1221.65,1,10,96,90,2,27.0,3,153.0,1.0,243.92,0
100.66,1,9,494,23,1,50.0,0,144.0,1.0,14473.33,3
485.54,1,21,331,79,2,19.0,3,148.0,1.0,1533.32,0
321.15,1,20,149,36,1,46.0,0,179.0,1.0,7005.05,1
711.3,1,38,564,75,1,21.0,3,51.0,1.0,955.4,0
12.23,1,15,173,64,0,42.0,1,139.0,1.0,7844.88,3
350.94,1,7,152,12,0,20.0,3,64.0,1.0,221.56,0
301.85,1,8,418,61,2,54.0,1,25.0,1.0,6586.19,2
29.34,1,21,28,86,2,65.0,2,30.0,1.0,3944.82,2
231.71,1,33,304,59,1,27.0,3,148.0,1.0,1127.98,0
179.43,1,28,406,3,0,58.0,2,244.0,1.0,2626.63,1
36.71,1,17,651,94,1,48.0,0,55.0,1.0,6459.38,3
138.12,0,20,178,66,1,53.0,0,281.0,1.0,1649.69,1
233.24,1,21,339,69,0,33.0,1,72.0,1.0,6939.23,3
609.14,1,40,198,85,0,39.0,1,177.0,1.0,9033.87,3
436.64,1,20,663,32,1,31.0,0,111.0,1.0,14365.18,3
870.43,1,20,412,36,1,29.0,0,55.0,1.0,10115.18,3
354.4,1,6,401,45,0,74.0,2,128.0,1.0,7358.65,2
22.63,1,18,471,51,2,53.0,1,112.0,1.0,4438.03,2
182.19,1,23,99,6,1,26.0,3,53.0,1.0,1176.1,0
126.81,1,30,673,35,1,26.0,1,290.0,1.0,5427.98,1
288.17,1,41,384,11,2,37.0,1,50.0,1.0,3653.11,0
118.77,1,1,300,65,1,55.0,1,123.0,1.0,2104.82,2
651.82,1,16,272,93,0,21.0,3,166.0,1.0,1802.77,0
66.65,1,11,383,99,0,37.0,1,33.0,1.0,3559.96,0
98.53,1,10,664,84,1,69.0,2,166.0,1.0,3564.8,2
138.95,1,42,655,89,2,71.0,2,30.0,1.0,6752.92,2
33.89,1,26,571,78,1,26.0,3,177.0,1.0,1444.75,0
23.71,1,1,276,4,1,58.0,0,164.0,1.0,10788.89,3
1830.0,1,35,421,81,2,55.0,1,238.0,1.0,2235.7,1
26.06,1,36,669,95,0,65.0,0,283.0,1.0,12893.63,1
17.07,1,20,579,22,1,27.0,1,44.0,1.0,2798.15,0
703.89,1,35,457,73,2,46.0,1,62.0,1.0,3583.67,2
1271.9,1,15,302,72,0,47.0,1,155.0,1.0,2120.8,2
26.55,1,15,110,98,0,77.0,2,228.0,1.0,3085.38,1
147.4,1,38,275,66,1,42.0,1,259.0,1.0,6797.71,1
202.11,1,22,71,4,0,27.0,3,18.0,1.0,746.47,0
308.42,1,26,268,76,1,75.0,2,39.0,1.0,5427.81,2
11.18,1,24,591,34,0,53.0,1,144.0,1.0,7467.3,3
294.15,1,14,487,19,2,38.0,1,136.0,1.0,6362.16,3
29.58,1,7,224,65,1,54.0,1,112.0,1.0,8345.26,3
139.45,1,4,137,3,2,27.0,3,31.0,1.0,1305.76,0
432.63,1,7,453,23,0,29.0,0,137.0,1.0,13648.36,3
131.43,1,5,376,52,2,43.0,0,65.0,1.0,1337.5,0
516.72,1,23,472,24,0,42.0,1,128.0,1.0,2015.69,0
121.82,1,7,93,93,2,69.0,0,123.0,3.0,8354.54,2
374.5,0,37,44,1,1,26.0,3,178.0,1.0,1671.51,0
166.13,1,29,457,12,0,68.0,0,227.0,1.0,11822.53,1
626.9,1,6,666,16,0,23.0,3,146.0,1.0,587.11,0
466.85,1,2,15,6,1,56.0,2,165.0,1.0,5422.53,1
788.84,1,31,387,54,2,58.0,2,231.0,1.0,1913.73,1
873.65,0,28,399,49,2,37.0,0,59.0,1.0,12139.83,3
525.28,1,7,547,10,0,69.0,2,134.0,1.0,4693.6,2
110.17,1,33,45,53,0,30.0,1,137.0,1.0,464.2,0
632.69,1,10,440,46,0,80.0,2,76.0,1.0,4363.74,2
124.35,1,28,81,14,0,72.0,2,90.0,1.0,3319.76,2
43.85,1,14,90,12,0,62.0,2,122.0,1.0,4356.98,2
283.81,1,36,352,45,1,28.0,3,29.0,1.0,1519.35,0
168.53,1,37,584,99,0,71.0,2,112.0,1.0,5962.58,2
218.59,0,10,3,87,1,40.0,1,123.0,1.0,6699.23,3
132.84,1,28,238,59,0,21.0,3,143.0,1.0,822.73,0
157.37,0,9,0,13,1,42.0,0,289.0,1.0,13964.31,1
144.77,1,0,189,6,2,20.0,3,159.0,1.0,867.32,0
643.22,1,1,242,72,0,64.0,0,93.0,1.0,1035.86,2
1392.54,1,12,111,12,1,41.0,0,297.0,1.0,13347.69,1
208.07,1,28,83,99,2,32.0,0,36.0,1.0,8478.9,3
94.3,1,31,431,41,1,57.0,0,57.0,1.0,11088.95,3
295.5,1,23,430,94,0,59.0,2,36.0,1.0,6280.66,2
30.23,1,2,391,48,0,44.0,0,99.0,1.0,481.13,0
112.05,0,31,153,77,0,26.0,3,159.0,1.0,1122.88,0
180.24,1,31,104,97,1,58.0,1,144.0,1.0,8431.23,3
13.71,0,10,467,83,2,38.0,1,148.0,1.0,8342.79,3
96.54,1,27,372,19,1,58.0,2,95.0,1.0,7182.22,2
79.35,1,20,269,50,2,67.0,2,70.0,1.0,1692.15,2
101.04,1,35,19,66,0,27.0,3,160.0,1.0,1695.57,0
74.42,1,12,265,2,2,49.0,1,68.0,1.0,6264.21,2
39.66,1,41,660,44,1,52.0,1,169.0,1.0,8497.34,1
99.36,1,39,18,3,0,40.0,0,46.0,1.0,1272.12,0
123.85,1,19,266,46,2,56.0,1,244.0,1.0,3959.62,1
426.93,1,29,127,53,0,19.0,3,248.0,1.0,476.19,0
133.73,0,38,644,0,2,25.0,3,123.0,1.0,1872.22,0
222.39,1,41,7,87,2,49.0,1,73.0,1.0,3117.39,2
215.94,0,41,36,20,2,22.0,3,140.0,1.0,1841.69,0
6.3,1,8,522,16,1,80.0,2,283.0,5.0,7697.68,1
826.23,1,7,55,41,0,29.0,0,209.0,1.0,7580.59,1
211.36,1,8,666,14,2,35.0,1,67.0,1.0,7936.91,3
131.46,1,5,279,5,1,67.0,2,258.0,1.0,6642.33,1
202.86,0,22,572,87,1,61.0,0,149.0,1.0,7642.25,2
