Sex,Length,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight,Rings,Cluster,PCA1,PCA2
2,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,2,-2.1100913919410753,1.5941954365999154
2,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,2,-3.8157147485084626,1.561967317869417
0,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,0,-0.3169489870895545,-1.8316321496922419
2,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,0,-1.443636085471435,1.5988848657008439
1,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7,2,-4.107278975414243,-0.15259182193243057
1,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8,2,-2.922281308830119,-0.14684885965017838
0,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20,0,0.19053771848862,-1.8413184906639732
0,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,0,-0.01629992289649996,-1.8131847322823182
2,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,0,-1.284229764484459,1.5971872656884056
0,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,0,0.6058394433733789,-1.8188868475584201
0,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14,0,-0.6043741963804361,-1.8493704335059076
2,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,2,-2.434453631962434,1.567261358988818
2,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,0,-1.0669372649666586,1.5904777463032516
0,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,0,-0.14395143260365326,-1.8304419046597669
0,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,2,-2.129635285689587,-1.861835479122831
2,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,0,-0.5344481207262729,1.6089502052329934
1,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,2,-3.6200372914238272,-0.1535288232088172
0,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10,2,-2.411902082592691,-1.8549714563056443
2,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7,2,-3.6425831278187144,1.5652065839494003
2,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,2,-2.6740078973291563,1.574398170544889
2,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,11,2,-3.61882255158718,1.5583905365760815
1,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,10,2,-3.5558180709621916,-0.1685907016001296
0,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12,0,1.030172639212671,-1.7884696740689332
0,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9,0,0.13721886537477748,-1.8085924692790825
